Country or region,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Generosity
Tunisia,4.461,0.921,0.815,0.167,0.059
Bangladesh,4.456,0.562,0.723,0.527,0.166
Iraq,4.437,1.043,0.574,0.241,0.148
Congo (Kinshasa),4.418,0.094,0.357,0.269,0.212
Mali,4.39,0.385,0.308,0.327,0.153
Sierra Leone,4.374,0.268,0.242,0.309,0.252
Sri Lanka,4.366,0.949,0.831,0.47,0.244
Myanmar,4.36,0.71,0.555,0.525,0.566
Chad,4.35,0.35,0.192,0.174,0.198
Ukraine,4.332,0.82,0.739,0.178,0.187
Ethiopia,4.286,0.336,0.532,0.344,0.209
Swaziland,4.212,0.811,0,0.313,0.074
Uganda,4.189,0.332,0.443,0.356,0.252
Egypt,4.166,0.913,0.644,0.241,0.076
Zambia,4.107,0.578,0.426,0.431,0.247
Togo,4.085,0.275,0.41,0.293,0.177
India,4.015,0.755,0.588,0.498,0.2
Liberia,3.975,0.073,0.443,0.37,0.233
Comoros,3.973,0.274,0.505,0.142,0.275
Madagascar,3.933,0.274,0.555,0.148,0.169
Lesotho,3.802,0.489,0.168,0.359,0.107
Burundi,3.775,0.046,0.38,0.22,0.176
Zimbabwe,3.663,0.366,0.433,0.361,0.151
Haiti,3.597,0.323,0.449,0.026,0.419
Botswana,3.488,1.041,0.538,0.455,0.025
Syria,3.462,0.619,0.44,0.013,0.331
Malawi,3.41,0.191,0.495,0.443,0.218
Yemen,3.38,0.287,0.463,0.143,0.108
Rwanda,3.334,0.359,0.614,0.555,0.217
Tanzania,3.231,0.476,0.499,0.417,0.276
Afghanistan,3.203,0.35,0.361,0,0.158
Central African Republic,3.083,0.026,0.105,0.225,0.235
South Sudan,2.853,0.306,0.295,0.01,0.202
